source_group,target_group,beta,target_assignment_rate,target_minus_source_similarity,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,success_minus_violation,success_minus_perturbation,balanced_validity_score,validity_score_lambda_0,validity_score_lambda_1,validity_score_lambda_5,validity_score_lambda_10,validity_score_lambda_20,validity_score_lambda_50,validity_score_lambda_100
analogy,definition,1.5,1.0,0.24892018916283964,0.006720956122181043,0.993279043877819,0.7563297748565674,0.993279043877819,0.24367022514343262,0.9176460663921622,1.0,0.993279043877819,0.9663952193890948,0.9327904387781896,0.8655808775563791,0.6639521938909478,0.3279043877818957
analogy,definition,2.0,1.0,0.33211334506715107,0.00873854377351757,0.9912614562264824,1.0084397792816162,0.9912614562264824,-0.008439779281616211,0.8904174782983207,1.0,0.9912614562264824,0.9563072811324121,0.9126145622648243,0.8252291245296486,0.5630728113241215,0.12614562264824292
definition,logic,0.0,0.0,-0.11458191278210739,2.220446049250313e-16,0.9999999999999998,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-1.1102230246251565e-15,-2.220446049250313e-15,-4.440892098500626e-15,-1.1102230246251565e-14,-2.220446049250313e-14
definition,logic,0.25,0.0,-0.06075461600926435,0.0003661471400157046,0.9996338528599843,0.1114862859249115,-0.0003661471400157046,-0.1114862859249115,-0.011514775732506855,0.0,-0.0003661471400157046,-0.001830735700078523,-0.003661471400157046,-0.007322942800314092,-0.01830735700078523,-0.03661471400157046
definition,logic,0.5,0.5,-0.0034256477558968212,0.0017470356033819634,0.998252964396618,0.222972571849823,0.49825296439661804,0.277027428150177,0.4759557072116357,0.5,0.49825296439661804,0.4912648219830902,0.48252964396618037,0.46505928793236073,0.41264821983090183,0.32529643966180366
definition,logic,0.75,1.0,0.05536415025268482,0.004489160842186646,0.9955108391578134,0.3344588279724121,0.9955108391578134,0.6655411720275879,0.9620649563605721,1.0,0.9955108391578134,0.9775541957890668,0.9551083915781335,0.9102167831562671,0.7755419578906677,0.5510839157813354
definition,logic,1.0,1.0,0.11324747671919233,0.008650116265985996,0.991349883734014,0.445945143699646,0.991349883734014,0.554054856300354,0.9467553693640494,1.0,0.991349883734014,0.95674941867007,0.91349883734014,0.8269976746802801,0.5674941867007002,0.13498837340140035
definition,logic,1.5,1.0,0.21784709093596077,0.01946333005175449,0.9805366699482455,0.6689176559448242,0.9805366699482455,0.3310823440551758,0.9136449043537631,1.0,0.9805366699482455,0.9026833497412275,0.8053666994824551,0.6107333989649102,0.026833497412275475,-0.946333005175449
definition,logic,2.0,1.0,0.2997863116895366,0.029167040328107463,0.9708329596718925,0.891890287399292,0.9708329596718925,0.10810971260070801,0.8816439309319634,1.0,0.9708329596718925,0.8541647983594627,0.7083295967189254,0.41665919343785074,-0.45835201640537315,-1.9167040328107463
definition,causality,0.0,0.0,-0.06653335139376426,2.220446049250313e-16,0.9999999999999998,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-1.1102230246251565e-15,-2.220446049250313e-15,-4.440892098500626e-15,-1.1102230246251565e-14,-2.220446049250313e-14
definition,causality,0.25,0.16666666666666666,-0.03263621096735492,0.0006277625895364514,0.9993722374104635,0.08932002633810043,0.1660389040771302,0.07734664032856622,0.15710690144332015,0.16666666666666666,0.1660389040771302,0.1635278537189844,0.16038904077130214,0.15411141487593763,0.1352785371898441,0.10389040771302152
definition,causality,0.5,0.5,0.0014475436235557027,0.00255001956314016,0.9974499804368598,0.17864005267620087,0.49744998043685984,0.32135994732379913,0.47958597516923973,0.5,0.49744998043685984,0.4872499021842992,0.4744998043685984,0.4489996087371968,0.372499021842992,0.244998043685984
definition,causality,0.75,1.0,0.0349239001018844,0.00563945696506063,0.9943605430349394,0.2679600417613983,0.9943605430349394,0.7320399582386017,0.9675645388587996,1.0,0.9943605430349394,0.9718027151746969,0.9436054303493937,0.8872108606987874,0.7180271517469685,0.43605430349393703
definition,causality,1.0,1.0,0.06707920853319804,0.009569497063512844,0.9904305029364872,0.35728010535240173,0.9904305029364872,0.6427198946475983,0.9547024924012469,1.0,0.9904305029364872,0.9521525146824358,0.9043050293648716,0.8086100587297431,0.5215251468243578,0.0430502936487156
definition,causality,1.5,1.0,0.12534335580343814,0.01830149942929149,0.9816985005707085,0.5359200835227966,0.9816985005707085,0.46407991647720337,0.9281064922184289,1.0,0.9816985005707085,0.9084925028535425,0.8169850057070851,0.6339700114141702,0.0849250285354255,-0.830149942929149
definition,causality,2.0,1.0,0.1738578904331035,0.026044871284214954,0.973955128715785,0.7145602107048035,0.973955128715785,0.28543978929519653,0.9024991076453047,1.0,0.973955128715785,0.8697756435789252,0.7395512871578505,0.4791025743157009,-0.3022435642107477,-1.6044871284214954
definition,analogy,0.0,0.0,-0.13266862530031864,2.220446049250313e-16,0.9999999999999998,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-1.1102230246251565e-15,-2.220446049250313e-15,-4.440892098500626e-15,-1.1102230246251565e-14,-2.220446049250313e-14
definition,analogy,0.25,0.0,-0.06802571439408389,0.0005493951964831156,0.9994506048035169,0.1225256398320198,-0.0005493951964831156,-0.1225256398320198,-0.012801959179685097,0.0,-0.0005493951964831156,-0.002746975982415578,-0.005493951964831156,-0.010987903929662313,-0.02746975982415578,-0.05493951964831156
definition,analogy,0.5,0.6666666666666666,-0.00023507911075193455,0.0023973826868903814,0.9976026173131096,0.2450512796640396,0.6642692839797762,0.421615387002627,0.6397641560133723,0.6666666666666666,0.6642692839797762,0.6546797532322147,0.6426928397977628,0.618719012928859,0.5467975323221476,0.4269283979776285
definition,analogy,0.75,1.0,0.0676382115090508,0.005575501420701512,0.9944244985792985,0.3675769567489624,0.9944244985792985,0.6324230432510376,0.9576668029044022,1.0,0.9944244985792985,0.9721224928964924,0.9442449857929849,0.8884899715859698,0.7212249289649244,0.4424498579298488
