model,layer,normalized_depth,beta,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,pairs_assignment_ge_0_5,pairs_assignment_eq_1,mean_ivs,mean_rsm_pearson,median_assignment,min_assignment,max_assignment,median_ivs,max_ivs,efficiency,validity_score
google/gemma-3-1b-it,16,0.6153846153846154,0.5,0.5,-2.2323997823916104e-05,0.06942371185868979,10,0,9.508307829571756e-05,0.9999049169217042,0.5,0.16666666666666666,0.6666666666666666,5.861517469529787e-05,0.00031548837816008923,7.202149159011343,0.4929625457358353
google/gemma-3-1b-it,16,0.6153846153846154,0.75,1.0,0.0047068429131328455,0.10413556918501854,12,12,0.00020178971579528268,0.9997982102842048,1.0,1.0,1.0,0.0001238048691517557,0.0006727313215963981,9.602865877600697,0.9893846533657028
google/gemma-3-1b-it,16,0.6153846153846154,1.0,1.0,0.009419927273990566,0.13884742371737957,12,12,0.0003372769089768172,0.999662723091023,1.0,1.0,1.0,0.0002067227408634742,0.0011287667349431096,7.2021496777209055,0.9857779807192852
google/gemma-3-1b-it,16,0.6153846153846154,1.25,1.0,0.01410078627530952,0.1735592782497406,12,12,0.000494145947661608,0.9995058540523386,1.0,1.0,1.0,0.00029945028442740496,0.0016584723451400496,5.761719871546515,0.9821499262273643
google/gemma-3-1b-it,16,0.6153846153846154,1.5,1.0,0.018733782370353946,0.20827113837003708,12,12,0.0006658764549602273,0.99933412354504,1.0,1.0,1.0,0.00040140371493796456,0.002238489645624009,4.801433169337943,0.9785070097080361
google/gemma-3-1b-it,20,0.7692307692307693,0.25,0.013888888888888888,-0.007029406797350775,0.044248790790637337,0,0,4.2980930513932446e-05,0.9999570190694861,0.0,0.0,0.16666666666666666,3.9741589831110424e-05,9.607907266118154e-05,0.31388170166698975,0.009421028879311222
google/gemma-3-1b-it,20,0.7692307692307693,0.5,0.5694444444444444,-5.134869926496736e-05,0.08849758158127467,10,0,0.00016479654628936044,0.9998352034537108,0.5,0.3333333333333333,0.8333333333333334,0.00015633751409344088,0.00037587484493262213,6.434575611263686,0.5604298897400276
google/gemma-3-1b-it,20,0.7692307692307693,0.75,0.9722222222222223,0.006925987727333771,0.13274637050926685,12,10,0.0003550491435061846,0.9996449508564939,1.0,0.8333333333333334,1.0,0.00033716305398351354,0.000826767998510558,7.323907578439419,0.9585925360277895
google/gemma-3-1b-it,20,0.7692307692307693,1.0,0.9861111111111112,0.013875240455875118,0.17699516316254935,12,11,0.0006041804210627314,0.9993958195789373,1.0,0.8333333333333334,1.0,0.0005728267881167093,0.001436602788974839,5.57140114891994,0.9678074143737936
google/gemma-3-1b-it,20,0.7692307692307693,1.25,1.0,0.020769112903279163,0.22124395767847696,12,12,0.0009038658920896095,0.9990961341079103,1.0,1.0,1.0,0.0008538061143466003,0.0021940529965595035,4.519897245077665,0.9769717383400627
google/gemma-3-1b-it,20,0.7692307692307693,1.5,1.0,0.02758037772636655,0.2654927410185337,12,12,0.0012471927551426787,0.9987528072448573,1.0,1.0,1.0,0.0011721045577755551,0.003088815856192473,3.7665811822116053,0.9722035331430039
google/gemma-3-1b-it,23,0.8846153846153846,0.25,0.027777777777777776,-0.007424991370010135,0.043445828991631665,0,0,2.4947550460748442e-05,0.9999750524495391,0.0,0.0,0.16666666666666666,1.3115892854076439e-05,5.8601009222281064e-05,0.6393656659071125,0.023408247328153862
