model,layer,normalized_depth,source_group,target_group,beta,delta_norm,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,ivs,rsm_pearson
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,definition,0.25,18.07699511695385,0.0,-0.02820174471166459,0.07904700189828873,8.145913067814092e-05,0.9999185408693219
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,definition,0.5,18.07699511695385,0.3333333333333333,-0.0010464557518323758,0.15809400379657745,0.0003367553860450512,0.999663244613955
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,definition,0.75,18.07699511695385,1.0,0.02654464820657898,0.23714099824428558,0.0007681288920505791,0.9992318711079494
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,definition,1.0,18.07699511695385,1.0,0.054030300168703804,0.3161880075931549,0.0013574440218507844,0.9986425559781492
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,definition,1.25,18.07699511695385,1.0,0.08087100079852683,0.3952350318431854,0.00206844775115822,0.9979315522488418
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,definition,1.5,18.07699511695385,1.0,0.1065807552595599,0.47428199648857117,0.002853329162664342,0.9971466708373357
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,logic,0.25,22.35238717987528,0.0,-0.04863340913097414,0.10140690952539444,0.00018748055864936664,0.9998125194413506
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,logic,0.5,22.35238717987528,0.5,-0.0027382629267468372,0.20281381905078888,0.0007889098555423635,0.9992110901444576
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,logic,0.75,22.35238717987528,1.0,0.04450715718292653,0.3042207360267639,0.0018060107081974142,0.9981939892918026
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,logic,1.0,22.35238717987528,1.0,0.0915619850675744,0.40562763810157776,0.0031550364249722795,0.9968449635750277
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,logic,1.25,22.35238717987528,1.0,0.13687718106872504,0.5070345401763916,0.0046825888618158285,0.9953174111381842
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,logic,1.5,22.35238717987528,1.0,0.17913558941215746,0.6084414720535278,0.006209168666260534,0.9937908313337395
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,causality,0.25,24.238890831537834,0.16666666666666666,-0.04679419855736644,0.109965480864048,0.00011288828714317578,0.9998871117128568
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,causality,0.5,24.238890831537834,0.5,0.003344872133323462,0.219930961728096,0.0004847166938315439,0.9995152833061685
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,causality,0.75,24.238890831537834,1.0,0.05225612155313175,0.329896479845047,0.0011287882015883488,0.9988712117984117
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,causality,1.0,24.238890831537834,1.0,0.0984392308554668,0.439861923456192,0.0020020172602399633,0.99799798273976
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,causality,1.25,24.238890831537834,1.0,0.14082378111903748,0.5498273968696594,0.0030191913427296546,0.9969808086572703
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,causality,1.5,24.238890831537834,1.0,0.1788265713515359,0.659792959690094,0.0040833835532055884,0.9959166164467944
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,definition,0.25,21.698074057461,0.16666666666666666,-0.040211704620267685,0.09843847155570984,0.00011025602929226608,0.9998897439707077
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,definition,0.5,21.698074057461,0.3333333333333333,0.001362839483418199,0.19687694311141968,0.0004684936130600059,0.99953150638694
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,definition,0.75,21.698074057461,1.0,0.04256925102835263,0.29531538486480713,0.0010867372077252302,0.9989132627922748
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,definition,1.0,21.698074057461,1.0,0.08227806977258945,0.39375388622283936,0.0019314688241248712,0.9980685311758751
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,definition,1.25,21.698074057461,1.0,0.11956509875678334,0.4921923577785492,0.0029306265189071867,0.9970693734810928
Qwen/Qwen3-1.7B,8,0.2857142857142857,analogy,definition,1.5,21.698074057461,1.0,0.15379422093132122,0.5906307697296143,0.003994503376371306,0.9960054966236287
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,logic,0.25,23.906019115628776,0.0,-0.05463731143509176,0.10616780072450638,0.0004456510105351752,0.9995543489894648
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,logic,0.5,23.906019115628776,0.5,-0.0038121418029959386,0.21233560144901276,0.0018919508823047604,0.9981080491176952
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,logic,0.75,23.906019115628776,1.0,0.04887890290206176,0.31850340962409973,0.0044463676741339775,0.995553632325866
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,logic,1.0,23.906019115628776,1.0,0.10151685116599563,0.4246712028980255,0.008077540749232837,0.9919224592507672
