model,layer,split,source_group,target_group,beta,intervention_type,rsm_pearson,invariant_violation_score,rsm_frobenius_distance,ivs_advantage_vs_random
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,0.75,matched_random,0.9986894184980954,0.0013105815019045508,0.07471332381969284,0.00025610842067791406
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,0.75,opposite,0.9941288528953446,0.0058711471046554164,0.1509921981359777,0.00025610842067791406
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,1.0,task,0.9993881083083638,0.0006118916916362238,0.05616493214355356,0.00257622982928285
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,1.0,matched_random,0.9968118784790809,0.003188121520919074,0.12680996625140104,0.00257622982928285
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,1.0,opposite,0.9899640760044243,0.010035923995575735,0.2068957063871942,0.00257622982928285
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,0.5,task,0.9995946394915127,0.00040536050848727356,0.025864829915608352,0.0011042844435428245
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,0.5,matched_random,0.9984903550479699,0.001509644952030098,0.025767635237102498,0.0011042844435428245
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,0.5,opposite,0.999998726775578,1.2732244220048372e-06,0.03177098132986516,0.0011042844435428245
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,0.75,task,0.9987260700553661,0.0012739299446339336,0.05716894184623908,0.0026934937176990026
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,0.75,matched_random,0.9960325763376671,0.003967423662332936,0.05697266599748672,0.0026934937176990026
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,0.75,opposite,0.9999758720628213,2.4127937178652914e-05,0.06506938411746642,0.0026934937176990026
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,1.0,task,0.9971654377248538,0.002834562275146224,0.09608019956634725,0.004898298482924446
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,1.0,matched_random,0.9922671392419293,0.00773286075807067,0.09581821385421062,0.004898298482924446
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,causality,1.0,opposite,0.9997993394970713,0.00020066050292866233,0.10514330091493299,0.004898298482924446
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,0.5,task,0.9990304368725418,0.0009695631274582173,0.01957304006011253,-0.00028460804820718
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,0.5,matched_random,0.999315044920749,0.0006849550792510373,0.059981829834371295,-0.00028460804820718
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,0.5,opposite,0.9957072200739041,0.004292779926095891,0.08941642699980987,-0.00028460804820718
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,0.75,task,0.9990862475249771,0.0009137524750228998,0.06812381076245086,0.001357963510558502
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,0.75,matched_random,0.9977282840144186,0.0022717159855814018,0.11782573806923625,0.001357963510558502
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,0.75,opposite,0.9899602989289924,0.0100397010710076,0.15227861250353433,0.001357963510558502
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,1.0,task,0.9995489363928529,0.00045106360714708416,0.1292457590308532,0.00449587699332088
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,1.0,matched_random,0.995053059399532,0.004946940600467964,0.18016010273797833,0.00449587699332088
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,analogy,1.0,opposite,0.9828302784969967,0.017169721503003332,0.21447540172457757,0.00449587699332088
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,0.5,task,0.9993895589045684,0.0006104410954316242,0.03564658648382898,-0.0002927844175119043
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,0.5,matched_random,0.9996823433220803,0.00031765667791971985,0.020832372013224736,-0.0002927844175119043
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,0.5,opposite,0.9996220546495445,0.0003779453504555441,0.007306926208219405,-0.0002927844175119043
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,0.75,task,0.9987685757742417,0.001231424225758282,0.061228592528887786,-0.0004623591253777315
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,0.75,matched_random,0.9992309348996194,0.0007690651003805504,0.04346202437176504,-0.0004623591253777315
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,0.75,opposite,0.9994382942727886,0.0005617057272113701,0.026503207365748332,-0.0004623591253777315
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,1.0,task,0.9981243053681124,0.0018756946318876366,0.08701636752828966,-0.0005310656314928552
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,1.0,matched_random,0.9986553709996052,0.0013446290003947814,0.06890328213731352,-0.0005310656314928552
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,causality,1.0,opposite,0.999408663333714,0.0005913366662859687,0.05112000754755124,-0.0005310656314928552
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,0.5,task,0.9998053054101159,0.00019469458988408128,0.020660444695055454,1.2251369974070059e-06
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,0.5,matched_random,0.9998040802731185,0.0001959197268814883,0.017585588117089292,1.2251369974070059e-06
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,0.5,opposite,0.999957660084311,4.233991568902695e-05,0.016506355238658246,1.2251369974070059e-06
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,0.75,task,0.9995395999305973,0.00046040006940273326,0.040932320624420766,3.290798730049005e-05
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,0.75,matched_random,0.9995066919432968,0.0004933080567032233,0.03703674224115828,3.290798730049005e-05
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,0.75,opposite,0.9999643195604578,3.568043954216282e-05,0.035697542163468945,3.290798730049005e-05
