source_group,target_group,beta,lambda,gamma,target_assignment_rate,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,constraint_score
logic,causality,1.5,100.0,0.0,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.6790158061014897
logic,causality,2.0,100.0,0.0,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.47615236901022895
logic,causality,0.0,100.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,100.0,0.05,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.010942052442659911
logic,causality,0.5,100.0,0.05,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6297715881715055
logic,causality,0.75,100.0,0.05,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9146356261245716
logic,causality,1.0,100.0,0.05,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.841332658775089
logic,causality,1.5,100.0,0.05,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.641249239228893
logic,causality,2.0,100.0,0.05,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.4257969465134333
logic,causality,0.0,100.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,100.0,0.1,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.01723648025475937
logic,causality,0.5,100.0,0.1,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6171827325473065
logic,causality,0.75,100.0,0.1,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.8957523426882733
logic,causality,1.0,100.0,0.1,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8161549475266912
logic,causality,1.5,100.0,0.1,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.6034826723562963
logic,causality,2.0,100.0,0.1,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.37544152401663766
logic,causality,0.0,100.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,100.0,0.2,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.029825335878958283
logic,causality,0.5,100.0,0.2,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.5920050212989086
logic,causality,0.75,100.0,0.2,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.8579857758156766
logic,causality,1.0,100.0,0.2,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.7657995250298956
logic,causality,1.5,100.0,0.2,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.5279495386111027
logic,causality,2.0,100.0,0.2,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.2747306790230463
logic,analogy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,1.0,0.0,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-8.36119557474646e-05
logic,analogy,0.5,1.0,0.0,0.5,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.499611490795253
logic,analogy,0.75,1.0,0.0,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9990296320754586
