source_group,target_group,lambda,gamma,selected_beta,selected_assignment_rate,selected_ivs,selected_rsm_pearson,selected_relative_perturbation,baseline_frontier_beta,baseline_assignment_rate,baseline_ivs,baseline_rsm_pearson,baseline_relative_perturbation,delta_ivs_vs_baseline,delta_perturbation_vs_baseline,delta_assignment_vs_baseline
logic,analogy,10.0,0.05,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,10.0,0.1,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,10.0,0.2,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,20.0,0.0,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,20.0,0.05,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,20.0,0.1,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,20.0,0.2,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,50.0,0.0,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,50.0,0.05,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,50.0,0.1,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,50.0,0.2,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,100.0,0.0,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,100.0,0.05,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,100.0,0.1,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,analogy,100.0,0.2,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.75,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.0,0.0,0.0
logic,definition,1.0,0.0,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,1.0,0.05,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,1.0,0.1,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,1.0,0.2,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,5.0,0.0,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,5.0,0.05,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,5.0,0.1,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,5.0,0.2,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,10.0,0.0,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,10.0,0.05,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,10.0,0.1,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,10.0,0.2,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,20.0,0.0,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,20.0,0.05,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,20.0,0.1,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,20.0,0.2,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
logic,definition,50.0,0.0,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.75,1.0,0.00026376332717203965,0.999736236672828,0.355024129152298,0.0,0.0,0.0
