source_group,target_group,beta,delta_norm,mean_source_similarity,mean_target_similarity,mean_target_minus_source_similarity,target_assignment_rate,relative_perturbation_norm
logic,definition,0.5,50.34522395349936,0.8247952799483792,0.8264825050604748,0.001687225112095625,0.5,0.2546350061893463
logic,definition,0.75,50.34522395349936,0.7810293257450369,0.8573158334327676,0.07628650768773071,1.0,0.38195255398750305
logic,definition,1.0,50.34522395349936,0.7266474124926261,0.8734120195862429,0.14676460709361683,1.0,0.5092700123786926
logic,definition,1.5,50.34522395349936,0.602447165476681,0.8686098508001635,0.26616268532348253,1.0,0.7639051079750061
logic,definition,2.0,50.34522395349936,0.48057446235308543,0.8337602996487585,0.3531858372956731,1.0,1.0185400247573853
causality,logic,-1.0,64.24250338031695,0.8260706826458332,0.3397536901009342,-0.48631699254489896,0.0,0.5993703007698059
causality,logic,-0.5,64.24250338031695,0.8556015972252901,0.47417193801355206,-0.381429659211738,0.0,0.29968515038490295
causality,logic,0.0,64.24250338031695,0.8503004409871003,0.6292321569601008,-0.22106828402699952,0.0,0.0
causality,logic,0.25,64.24250338031695,0.822742637750876,0.7039027391057444,-0.11883989864513156,0.0,0.14984257519245148
causality,logic,0.5,64.24250338031695,0.7737151498809051,0.7671825002842457,-0.0065326495966593345,0.5,0.29968515038490295
causality,logic,0.75,64.24250338031695,0.7039732540210545,0.8123826719534194,0.10840941793236492,1.0,0.4495277404785156
causality,logic,1.0,64.24250338031695,0.6188666228353796,0.8363557235760473,0.21748910074066763,1.0,0.5993703007698059
causality,logic,1.5,64.24250338031695,0.4344959724979764,0.8294236240454168,0.3949276515474404,1.0,0.8990554809570312
causality,logic,2.0,64.24250338031695,0.27089267303199,0.7824021915552407,0.5115095185232508,1.0,1.1987406015396118
causality,analogy,-1.0,69.6762003843974,0.8358027143811363,0.279465970165317,-0.5563367442158194,0.0,0.6500656604766846
causality,analogy,-0.5,69.6762003843974,0.8612896189808906,0.41472321020806974,-0.4465664087728209,0.0,0.3250328302383423
causality,analogy,0.0,69.6762003843974,0.8503004409871003,0.5819414264782931,-0.2683590145088073,0.0,0.0
causality,analogy,0.25,69.6762003843974,0.816192693344711,0.6673842271547622,-0.1488084661899488,0.0,0.16251641511917114
causality,analogy,0.5,69.6762003843974,0.7557656540451186,0.7422697852716857,-0.013495868773432895,0.5,0.3250328302383423
causality,analogy,0.75,69.6762003843974,0.6694576480936564,0.7967912118656116,0.12733356377195526,1.0,0.48754921555519104
causality,analogy,1.0,69.6762003843974,0.5647442213175883,0.8255953293465579,0.2608511080289696,1.0,0.6500656604766846
