source_group,target_group,beta,mean_similarity_to_source,mean_similarity_to_target,target_minus_source_similarity,target_assignment_rate,mean_relative_perturbation_norm,rsm_pearson,rsm_spearman,invariant_violation_score,rsm_frobenius_distance
definition,logic,0.25,0.8931504541829578,0.8323958381736934,-0.06075461600926435,0.0,0.1114862859249115,0.9996338528599843,1.0,0.0003661471400157046,0.07457852021288876
definition,logic,0.5,0.8684577857216644,0.8650321379657676,-0.0034256477558968212,0.5,0.222972571849823,0.998252964396618,0.9928571428571428,0.0017470356033819634,0.12231944753530621
definition,logic,0.75,0.8313890310535769,0.8867531813062617,0.05536415025268482,1.0,0.3344588279724121,0.9955108391578134,0.9928571428571428,0.004489160842186646,0.13646185369335076
definition,logic,1.0,0.7830508739685218,0.8962983506877141,0.11324747671919233,1.0,0.445945143699646,0.991349883734014,0.9892857142857142,0.008650116265985996,0.11548897756829718
definition,logic,1.5,0.6630665723368416,0.8809136632728024,0.21784709093596077,1.0,0.6689176559448242,0.9805366699482455,0.9678571428571429,0.01946333005175449,0.04563799359547908
definition,logic,2.0,0.5332502364145539,0.8330365481040906,0.2997863116895366,1.0,0.891890287399292,0.9708329596718925,0.9642857142857141,0.029167040328107463,0.22391435947438645
definition,causality,0.0,0.9058222153358145,0.8392888639420503,-0.06653335139376426,0.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16,0.0
definition,causality,0.25,0.9007670433097292,0.8681308323423743,-0.03263621096735492,0.16666666666666666,0.08932002633810043,0.9993722374104635,0.9928571428571428,0.0006277625895364514,0.01027480532440578
definition,causality,0.5,0.8885961550603246,0.8900436986838803,0.0014475436235557027,0.5,0.17864005267620087,0.9974499804368598,0.9892857142857142,0.00255001956314016,0.014323775549843187
definition,causality,0.75,0.8697990803839138,0.9047229804857982,0.0349239001018844,1.0,0.2679600417613983,0.9943605430349394,0.982142857142857,0.00563945696506063,0.0390545503095854
definition,causality,1.0,0.8452795156090711,0.9123587241422692,0.06707920853319804,1.0,0.35728010535240173,0.9904305029364872,0.982142857142857,0.009569497063512844,0.08251885540313911
definition,causality,1.5,0.7838777831939572,0.9092211389973953,0.12534335580343814,1.0,0.5359200835227966,0.9816985005707085,0.9642857142857141,0.01830149942929149,0.20269147610146013
definition,causality,2.0,0.7142115785906441,0.8880694690237476,0.1738578904331035,1.0,0.7145602107048035,0.973955128715785,0.9571428571428571,0.026044871284214954,0.34062858505925203
definition,analogy,0.0,0.9058222153358145,0.7731535900354959,-0.13266862530031864,0.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16,0.0
definition,analogy,0.25,0.8929666233602477,0.8249409089661638,-0.06802571439408389,0.0,0.1225256398320198,0.9994506048035169,0.9964285714285712,0.0005493951964831156,0.056894733925524583
definition,analogy,0.5,0.8658734234225663,0.8656383443118144,-0.00023507911075193455,0.6666666666666666,0.2450512796640396,0.9976026173131096,0.9928571428571428,0.0023973826868903814,0.07809984956091807
definition,analogy,0.75,0.825105452873555,0.8927436643826058,0.0676382115090508,1.0,0.3675769567489624,0.9944244985792985,0.9857142857142854,0.005575501420701512,0.06127296032013221
definition,analogy,1.0,0.7730824701919702,0.9055903259757034,0.13250785578373325,1.0,0.4901025593280792,0.9903270081924952,0.9785714285714284,0.009672991807504805,0.02895766629051893
definition,analogy,1.5,0.6501320770783593,0.8945570868223548,0.2444250097439955,1.0,0.7351539134979248,0.98214762471006,0.9464285714285712,0.017852375289939992,0.1848516336905267
definition,analogy,2.0,0.525158858798379,0.8528081851043914,0.3276493263060124,1.0,0.9802051186561584,0.9769592490180664,0.9428571428571427,0.02304075098193359,0.3885939089541595
